2024-10-12T12:11:49-04:00
Running ./build/run_benchmark
Run on (8 X 3591.96 MHz CPU s)
CPU Caches:
  L1 Data 32 KiB (x4)
  L1 Instruction 32 KiB (x4)
  L2 Unified 256 KiB (x4)
  L3 Unified 8192 KiB (x1)
Load Average: 0.08, 0.07, 0.10
--------------------------------------------------------------------------------------------------
Benchmark                                        Time             CPU   Iterations UserCounters...
BM_gao_additive_fft_lvl1/20_cv                0.62 %          0.62 %          1000 items_per_second=0.62%
BM_gao_additive_fft_lvl1/21_mean           2262367 us      2262264 us         1000 items_per_second=0.44206/s
BM_gao_additive_fft_lvl1/21_median         2269366 us      2269261 us         1000 items_per_second=0.440672/s
BM_gao_additive_fft_lvl1/21_stddev           17010 us        17006 us         1000 items_per_second=3.33694m/s
BM_gao_additive_fft_lvl1/21_cv                0.75 %          0.75 %          1000 items_per_second=0.75%
BM_gao_additive_fft_lvl1/22_mean           4840018 us      4839800 us         1000 items_per_second=0.206621/s
BM_gao_additive_fft_lvl1/22_median         4837661 us      4837526 us         1000 items_per_second=0.206717/s
BM_gao_additive_fft_lvl1/22_stddev           10609 us        10606 us         1000 items_per_second=450.826u/s
BM_gao_additive_fft_lvl1/22_cv                0.22 %          0.22 %          1000 items_per_second=0.22%
BM_gao_additive_fft_lvl1/23_mean          10346859 us     10346372 us         1000 items_per_second=0.096653/s
BM_gao_additive_fft_lvl1/23_median        10339707 us     10339253 us         1000 items_per_second=0.0967188/s
BM_gao_additive_fft_lvl1/23_stddev           29565 us        29577 us         1000 items_per_second=273.791u/s
BM_gao_additive_fft_lvl1/23_cv                0.29 %          0.29 %          1000 items_per_second=0.28%
BM_gao_additive_fft_lvl2/2_mean              0.197 us        0.197 us         1000 items_per_second=5.06899M/s
BM_gao_additive_fft_lvl2/2_median            0.197 us        0.197 us         1000 items_per_second=5.0729M/s
BM_gao_additive_fft_lvl2/2_stddev            0.001 us        0.001 us         1000 items_per_second=25.7119k/s
BM_gao_additive_fft_lvl2/2_cv                 0.52 %          0.52 %          1000 items_per_second=0.51%
BM_gao_additive_fft_lvl2/3_mean              0.554 us        0.554 us         1000 items_per_second=1.80557M/s
BM_gao_additive_fft_lvl2/3_median            0.554 us        0.554 us         1000 items_per_second=1.80505M/s
BM_gao_additive_fft_lvl2/3_stddev            0.001 us        0.001 us         1000 items_per_second=3.26447k/s
BM_gao_additive_fft_lvl2/3_cv                 0.18 %          0.18 %          1000 items_per_second=0.18%
BM_gao_additive_fft_lvl2/4_mean               1.47 us         1.47 us         1000 items_per_second=681.491k/s
BM_gao_additive_fft_lvl2/4_median             1.47 us         1.47 us         1000 items_per_second=681.635k/s
BM_gao_additive_fft_lvl2/4_stddev            0.001 us        0.001 us         1000 items_per_second=690.395/s
BM_gao_additive_fft_lvl2/4_cv                 0.10 %          0.10 %          1000 items_per_second=0.10%
BM_gao_additive_fft_lvl2/5_mean               3.82 us         3.82 us         1000 items_per_second=262.042k/s
BM_gao_additive_fft_lvl2/5_median             3.81 us         3.81 us         1000 items_per_second=262.291k/s
BM_gao_additive_fft_lvl2/5_stddev            0.051 us        0.051 us         1000 items_per_second=3.41316k/s
BM_gao_additive_fft_lvl2/5_cv                 1.33 %          1.33 %          1000 items_per_second=1.30%
BM_gao_additive_fft_lvl2/6_mean               9.56 us         9.56 us         1000 items_per_second=104.588k/s
BM_gao_additive_fft_lvl2/6_median             9.53 us         9.53 us         1000 items_per_second=104.987k/s
BM_gao_additive_fft_lvl2/6_stddev            0.180 us        0.180 us         1000 items_per_second=1.90168k/s
BM_gao_additive_fft_lvl2/6_cv                 1.89 %          1.89 %          1000 items_per_second=1.82%
BM_gao_additive_fft_lvl2/7_mean               22.6 us         22.6 us         1000 items_per_second=44.158k/s
BM_gao_additive_fft_lvl2/7_median             22.6 us         22.6 us         1000 items_per_second=44.1823k/s
BM_gao_additive_fft_lvl2/7_stddev            0.179 us        0.179 us         1000 items_per_second=345.988/s
BM_gao_additive_fft_lvl2/7_cv                 0.79 %          0.79 %          1000 items_per_second=0.78%
BM_gao_additive_fft_lvl2/8_mean               53.8 us         53.8 us         1000 items_per_second=18.5959k/s
BM_gao_additive_fft_lvl2/8_median             53.8 us         53.8 us         1000 items_per_second=18.599k/s
BM_gao_additive_fft_lvl2/8_stddev            0.316 us        0.316 us         1000 items_per_second=108.864/s
BM_gao_additive_fft_lvl2/8_cv                 0.59 %          0.59 %          1000 items_per_second=0.59%
BM_gao_additive_fft_lvl2/9_mean                121 us          121 us         1000 items_per_second=8.27281k/s
BM_gao_additive_fft_lvl2/9_median              121 us          121 us         1000 items_per_second=8.28071k/s
BM_gao_additive_fft_lvl2/9_stddev            0.466 us        0.466 us         1000 items_per_second=31.7096/s
BM_gao_additive_fft_lvl2/9_cv                 0.39 %          0.39 %          1000 items_per_second=0.38%
BM_gao_additive_fft_lvl2/10_mean               273 us          273 us         1000 items_per_second=3.66146k/s
BM_gao_additive_fft_lvl2/10_median             272 us          272 us         1000 items_per_second=3.67118k/s
BM_gao_additive_fft_lvl2/10_stddev            1.56 us         1.56 us         1000 items_per_second=20.9136/s
BM_gao_additive_fft_lvl2/10_cv                0.57 %          0.57 %          1000 items_per_second=0.57%
BM_gao_additive_fft_lvl2/11_mean               620 us          620 us         1000 items_per_second=1.61268k/s
BM_gao_additive_fft_lvl2/11_median             620 us          620 us         1000 items_per_second=1.61167k/s
BM_gao_additive_fft_lvl2/11_stddev            5.51 us         5.51 us         1000 items_per_second=14.4578/s
